Unnamed: 0,issue_id,created_date,issue_region,nps_score,nps_category,nps_sentiment,nps_sentiment_type,sla_adherence
1,ENT-18361,2023-07-31,AMER,,,,,0.518518519
2,ENT-30765,2024-02-08,EMEA,,,,,1.0
3,ENT-31037,2024-02-12,AMER,,,,,0.947368421
4,ENT-32126,2024-02-26,AMER,,,,,0.764705882
5,ENT-34019,2024-03-12,AMER,,,,,0.823529412
6,ENT-34383,2024-03-18,EMEA,,,,,0.75
7,ENT-34571,2024-03-19,AMER,,,,,0.52
8,ENT-35196,2024-03-26,EMEA,,,,,1.0
9,ENT-35246,2024-03-27,EMEA,10.0,Promoter,0.428571428571429,Positive,1.0
10,ENT-35416,2024-03-28,AMER,,,,,1.0
11,ENT-35493,2024-03-29,AMER,,,,,0.888888889
12,ENT-35903,2024-04-04,EMEA,,,,,0.875
13,ENT-36154,2024-04-08,AMER,9.0,Promoter,0.333333333333333,Positive,0.965517241
14,ENT-36181,2024-04-08,AMER,,,,,0.928571429
15,ENT-36310,2024-04-10,EMEA,10.0,Promoter,0.333333333333333,Positive,0.896551724
16,ENT-36760,2024-04-15,AMER,,,,,0.6
17,ENT-36852,2024-04-16,EMEA,,,,,0.935483871
18,ENT-37042,2024-04-18,AMER,,,,,1.0
19,ENT-37049,2024-04-17,APAC,,,,,0.681818182
20,ENT-37116,2024-04-18,AMER,,,,,1.0
21,ENT-37125,2024-04-18,AMER,,,,,0.823529412
22,ENT-37289,2024-04-22,EMEA,,,,,1.0
23,ENT-37302,2024-04-22,EMEA,10.0,Promoter,0.304347826086957,Positive,1.0
24,ENT-37525,2024-04-24,APAC,,,,,0.666666667
25,ENT-37776,2024-04-26,APAC,,,,,0.857142857
26,ENT-37777,2024-04-26,APAC,,,,,0.875
27,ENT-37884,2024-04-29,EMEA,,,,,0.945454545
28,ENT-37961,2024-04-29,AMER,,,,,1.0
29,ENT-37986,2024-04-30,EMEA,,,,,0.933333333
30,ENT-38028,2024-04-30,EMEA,10.0,Promoter,,,0.333333333
31,ENT-38043,2024-04-30,AMER,,,,,0.818181818
32,ENT-38158,2024-05-02,APAC,10.0,Promoter,,,0.944444444
33,ENT-38178,2024-05-02,EMEA,,,,,1.0
34,ENT-38237,2024-05-02,AMER,,,,,0.888888889
35,ENT-38256,2024-05-03,EMEA,,,,,1.0
36,ENT-38260,2024-05-03,EMEA,,,,,0.833333333
37,ENT-38265,2024-05-03,EMEA,,,,,1.0
38,ENT-38363,2024-05-06,AMER,,,,,1.0
39,ENT-38419,2024-04-27,APAC,9.0,Promoter,0.4,Positive,1.0
40,ENT-38590,2024-04-26,AMER,10.0,Promoter,0.375,Positive,0.92
41,ENT-38614,2024-05-08,EMEA,10.0,Promoter,,,0.923076923
42,ENT-38637,2024-05-08,AMER,,,,,1.0
43,ENT-38650,2024-05-08,AMER,,,,,1.0
44,ENT-38677,2024-05-08,APAC,,,,,0.727272727
45,ENT-38719,2024-05-09,EMEA,,,,,1.0
46,ENT-38741,2024-05-09,AMER,,,,,0.888888889
47,ENT-38750,2024-05-09,EMEA,,,,,0.916666667
48,ENT-38803,2024-05-10,APAC,8.0,Passive,0.0,Neutral,0.818181818
49,ENT-38817,2024-05-10,EMEA,,,,,1.0
50,ENT-38880,2024-05-10,EMEA,,,,,1.0
